event_id,source,date,state,district,latitude,longitude,elevation_m,slope_deg,aspect_deg,landcover,soil_type,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,antecedent_precip_index,soil_moisture_pct,landslide_occurred,landslide_type,fatalities,data_confidence
SYN_N_01643,SYNTHETIC_NER,2021-08-09,Arunachal Pradesh,unspecified,26.6954,88.0017,4450.2,34.88,313.7,forest,residual_soil,24.2,75.7,123.7,89.4,30.1,0,n/a,0,low
SYN_N_01819,SYNTHETIC_NER,2021-06-15,Mizoram,unspecified,23.85211,90.84783,539.8,17.01,111.2,forest,residual_soil,30.6,83.0,176.6,119.3,25.9,0,n/a,0,low
SYN_E_00811,SYNTHETIC_NER,2020-01-26,Arunachal Pradesh,unspecified,28.53704,89.08093,4901.7,39.87,105.4,built-up,colluvium,101.9,298.0,612.4,416.0,46.0,1,soil slide,0,low
SYN_N_01157,SYNTHETIC_NER,2015-05-19,Nagaland,unspecified,26.41291,93.05654,339.6,21.48,301.9,forest,residual_soil,13.8,40.9,58.6,44.3,23.4,0,n/a,0,low
SYN_E_00179,SYNTHETIC_NER,2016-12-15,Nagaland,unspecified,22.72817,93.34213,2089.3,27.76,235.1,cropland,weathered_rock,40.7,91.7,130.1,100.7,43.3,1,debris flow,0,low
SYN_N_01562,SYNTHETIC_NER,2025-06-19,Meghalaya,unspecified,23.71893,89.58207,221.5,19.46,48.0,bare,residual_soil,18.0,39.4,71.8,51.3,22.7,0,n/a,0,low
SYN_N_01788,SYNTHETIC_NER,2019-08-15,Assam,unspecified,28.01556,92.41231,190.3,23.14,16.5,forest,weathered_rock,20.1,42.4,67.3,50.4,16.3,0,n/a,0,low
SYN_N_01256,SYNTHETIC_NER,2022-08-01,Assam,unspecified,28.3119,92.66962,554.6,34.15,264.9,bare,residual_soil,26.1,61.4,106.6,77.0,22.8,0,n/a,0,low
SYN_N_00026,SYNTHETIC_NER,2023-07-23,Manipur,unspecified,26.71943,93.33314,2161.6,19.37,105.1,cropland,residual_soil,2.3,5.6,12.0,8.1,32.0,0,n/a,0,low
SYN_E_00999,SYNTHETIC_NER,2021-06-08,Nagaland,unspecified,25.50004,90.53088,1545.1,36.28,247.1,grassland,residual_soil,35.6,64.9,91.7,72.4,40.9,1,debris flow,0,low
SYN_E_00817,SYNTHETIC_NER,2016-06-06,Assam,unspecified,26.70361,89.02956,212.0,29.61,240.4,forest,colluvium,34.0,70.4,109.5,82.7,37.5,1,mudslide,1,low
SYN_E_00927,SYNTHETIC_NER,2022-08-27,Mizoram,unspecified,22.32645,90.536,694.8,34.7,331.5,cropland,residual_soil,28.3,57.5,124.0,84.9,45.9,1,debris flow,0,low
SYN_N_01496,SYNTHETIC_NER,2015-09-12,Manipur,unspecified,28.84645,95.45316,1489.1,19.93,66.5,forest,residual_soil,13.4,40.1,83.3,56.3,24.2,0,n/a,0,low
SYN_N_01833,SYNTHETIC_NER,2024-06-04,Meghalaya,unspecified,29.38179,90.35567,257.4,21.06,75.1,forest,colluvium,37.8,95.0,155.0,113.5,20.4,0,n/a,0,low
SYN_N_01755,SYNTHETIC_NER,2022-10-06,Assam,unspecified,23.30359,92.18553,420.5,11.72,71.5,forest,residual_soil,12.6,39.2,84.2,56.4,23.7,0,n/a,0,low
SYN_E_00120,SYNTHETIC_NER,2021-06-10,Manipur,unspecified,22.24487,96.02188,755.8,37.4,63.0,grassland,residual_soil,20.4,57.0,106.0,74.2,32.5,1,debris flow,0,low
SYN_N_00586,SYNTHETIC_NER,2024-08-24,Meghalaya,unspecified,26.812,90.26089,1272.9,26.06,45.8,built-up,colluvium,84.3,215.6,385.2,274.2,16.5,0,n/a,0,low
SYN_N_00203,SYNTHETIC_NER,2018-06-02,Assam,unspecified,23.12469,88.48713,326.8,23.56,36.3,forest,residual_soil,22.2,53.9,83.7,62.5,12.7,0,n/a,0,low
SYN_E_00387,SYNTHETIC_NER,2015-07-04,Sikkim,unspecified,27.45021,91.15632,1542.3,21.3,180.8,cropland,residual_soil,33.7,65.8,139.4,96.2,37.9,1,mudslide,0,low
SYN_N_00310,SYNTHETIC_NER,2020-07-27,Sikkim,unspecified,26.45068,94.63197,4417.9,17.35,125.7,bare,weathered_rock,24.4,57.9,88.2,66.3,29.5,0,n/a,0,low
SYN_N_00904,SYNTHETIC_NER,2018-09-12,Meghalaya,unspecified,28.36692,90.60081,1734.1,34.65,60.6,cropland,residual_soil,26.0,51.1,83.1,62.1,18.9,0,n/a,0,low
SYN_N_01762,SYNTHETIC_NER,2023-09-06,Nagaland,unspecified,28.97502,88.35375,2798.4,17.15,312.5,forest,residual_soil,15.8,48.9,93.4,64.5,27.9,0,n/a,0,low
SYN_N_00757,SYNTHETIC_NER,2017-06-06,Tripura,unspecified,25.87678,95.25303,471.8,11.91,170.8,forest,residual_soil,17.2,42.6,78.9,55.7,36.8,0,n/a,0,low
SYN_E_00842,SYNTHETIC_NER,2022-08-05,Arunachal Pradesh,unspecified,23.12501,89.98261,2649.5,35.06,109.7,bare,colluvium,40.1,114.3,247.4,166.0,36.3,1,mudslide,1,low
SYN_E_00184,SYNTHETIC_NER,2016-06-26,Manipur,unspecified,29.29554,88.37353,2897.9,30.66,355.3,grassland,unknown,27.9,78.2,138.4,98.2,37.6,1,debris flow,0,low
SYN_E_00495,SYNTHETIC_NER,2023-08-12,Manipur,unspecified,23.12623,93.74089,2599.4,31.83,281.3,forest,colluvium,34.9,64.5,119.7,86.2,44.9,1,mudslide,0,low
SYN_N_01011,SYNTHETIC_NER,2017-07-17,Assam,unspecified,28.83378,96.9545,343.1,34.7,92.5,forest,colluvium,24.5,55.4,81.9,62.4,5.0,0,n/a,0,low
SYN_N_02001,SYNTHETIC_NER,2018-08-22,Assam,unspecified,28.83065,90.93692,316.0,19.98,119.5,forest,residual_soil,9.4,24.0,49.5,33.8,7.9,0,n/a,0,low
SYN_E_00926,SYNTHETIC_NER,2025-07-16,Nagaland,unspecified,24.8559,88.40773,3345.2,41.97,347.0,grassland,residual_soil,19.1,42.0,86.5,59.7,41.1,1,soil slide,0,low
SYN_E_00461,SYNTHETIC_NER,2025-09-16,Meghalaya,unspecified,24.57352,91.80052,1936.0,27.35,230.4,grassland,weathered_rock,150.2,433.5,917.7,618.9,38.1,1,mudslide,0,low
SYN_E_00033,SYNTHETIC_NER,2019-09-05,Nagaland,unspecified,23.26638,94.2327,3765.4,34.77,104.1,grassland,colluvium,46.0,138.9,215.9,158.8,31.1,1,mudslide,0,low
SYN_N_00593,SYNTHETIC_NER,2025-05-10,Nagaland,unspecified,21.5929,89.34769,2210.3,18.1,30.8,forest,residual_soil,4.4,12.7,23.8,16.6,18.8,0,n/a,0,low
SYN_E_00289,SYNTHETIC_NER,2025-11-12,Manipur,unspecified,22.18727,93.79014,895.4,39.4,51.4,forest,residual_soil,14.9,42.7,85.5,58.6,34.1,1,debris flow,0,low
SYN_N_01389,SYNTHETIC_NER,2023-07-03,Tripura,unspecified,28.03794,95.27466,656.8,11.27,325.1,forest,residual_soil,10.2,30.8,59.9,41.2,30.0,0,n/a,0,low
SYN_N_00339,SYNTHETIC_NER,2017-08-15,Meghalaya,unspecified,22.84056,88.1624,459.0,6.26,225.2,forest,residual_soil,36.5,78.2,140.3,100.9,26.9,0,n/a,0,low
SYN_E_00644,SYNTHETIC_NER,2020-03-04,Sikkim,unspecified,27.63502,93.97052,4976.2,37.04,54.9,forest,colluvium,44.0,121.0,255.2,172.7,38.0,1,debris flow,0,low
SYN_E_00093,SYNTHETIC_NER,2020-09-19,Manipur,unspecified,28.77838,95.53989,2097.9,32.76,21.1,forest,colluvium,26.0,82.1,149.2,104.4,45.8,1,soil slide,1,low
SYN_E_00969,SYNTHETIC_NER,2025-09-17,Assam,unspecified,21.52233,91.61142,87.9,30.84,172.6,grassland,weathered_rock,28.3,63.8,116.7,83.1,46.2,1,soil slide,0,low
SYN_N_00354,SYNTHETIC_NER,2016-06-24,Mizoram,unspecified,29.25382,94.4307,1481.5,30.02,135.4,grassland,residual_soil,12.6,24.6,36.5,28.2,23.9,0,n/a,0,low
SYN_E_01174,SYNTHETIC_NER,2017-08-23,Assam,unspecified,25.16275,91.21999,477.4,25.16,120.4,forest,residual_soil,45.9,124.0,205.4,149.1,34.6,1,mudslide,0,low
SYN_N_01375,SYNTHETIC_NER,2020-07-16,Tripura,unspecified,21.54759,92.70253,294.7,12.33,294.5,cropland,unknown,8.0,16.2,23.3,18.1,7.3,0,n/a,0,low
SYN_N_01953,SYNTHETIC_NER,2018-08-13,Manipur,unspecified,21.77349,96.8483,2104.0,2.0,139.4,cropland,residual_soil,18.5,46.1,82.8,58.9,16.7,0,n/a,0,low
SYN_E_00803,SYNTHETIC_NER,2021-07-04,Arunachal Pradesh,unspecified,28.04169,92.43562,3248.3,34.45,170.3,grassland,residual_soil,42.7,123.3,197.2,144.1,47.4,1,debris flow,0,low
SYN_N_00274,SYNTHETIC_NER,2024-11-14,Nagaland,unspecified,22.88059,95.50061,3795.1,29.96,313.6,forest,weathered_rock,13.8,37.9,65.9,47.1,26.1,0,n/a,0,low
SYN_E_00602,SYNTHETIC_NER,2021-06-03,Tripura,unspecified,22.94965,91.09901,910.0,12.42,70.5,cropland,colluvium,36.6,77.1,145.7,103.3,49.5,1,debris flow,0,low
SYN_N_00764,SYNTHETIC_NER,2025-08-07,Tripura,unspecified,24.1212,89.39748,376.3,20.63,266.9,cropland,weathered_rock,15.1,33.8,64.5,45.4,27.3,0,n/a,0,low
SYN_N_01528,SYNTHETIC_NER,2023-08-11,Manipur,unspecified,29.03975,88.02138,1351.5,26.8,157.6,forest,residual_soil,21.1,41.6,81.0,57.2,41.1,0,n/a,0,low
SYN_N_00136,SYNTHETIC_NER,2015-09-02,Arunachal Pradesh,unspecified,29.05375,94.12258,3234.1,24.58,115.0,forest,colluvium,40.2,114.2,247.9,166.2,29.3,0,n/a,0,low
SYN_E_00948,SYNTHETIC_NER,2017-09-18,Arunachal Pradesh,unspecified,26.21663,91.29944,637.4,23.75,219.5,forest,colluvium,76.4,224.9,353.1,259.3,38.4,1,soil slide,0,low
SYN_N_01976,SYNTHETIC_NER,2020-09-01,Mizoram,unspecified,22.61771,93.41226,363.7,14.95,242.9,forest,colluvium,17.9,45.3,73.1,53.7,11.3,0,n/a,0,low
SYN_E_00802,SYNTHETIC_NER,2024-07-23,Nagaland,unspecified,24.72129,88.86161,3786.7,47.44,134.4,forest,colluvium,28.0,73.9,152.6,104.0,39.2,1,debris flow,0,low
SYN_N_00565,SYNTHETIC_NER,2016-08-23,Manipur,unspecified,27.65778,95.11099,2444.3,48.62,188.2,grassland,residual_soil,18.8,45.9,72.7,53.9,38.4,0,n/a,0,low
SYN_E_00070,SYNTHETIC_NER,2016-09-05,Sikkim,unspecified,27.57714,90.19145,3747.3,30.9,326.1,cropland,weathered_rock,29.4,79.3,137.1,98.2,45.7,1,rock slide,0,low
SYN_E_00443,SYNTHETIC_NER,2023-09-08,Manipur,unspecified,26.34091,93.00411,2552.1,26.96,57.4,bare,colluvium,23.8,56.3,118.8,81.1,37.4,1,debris flow,0,low
SYN_N_01129,SYNTHETIC_NER,2018-08-10,Sikkim,unspecified,27.37845,94.63476,992.7,13.84,282.9,cropland,residual_soil,11.4,20.7,44.3,30.6,19.4,0,n/a,0,low
SYN_N_01253,SYNTHETIC_NER,2019-01-05,Manipur,unspecified,25.79612,95.85453,2464.3,30.48,269.0,cropland,colluvium,22.5,71.4,121.6,86.7,22.6,0,n/a,0,low
SYN_E_01067,SYNTHETIC_NER,2015-09-14,Tripura,unspecified,27.33348,97.29159,688.1,33.19,169.5,forest,weathered_rock,48.0,108.7,220.1,152.2,41.8,1,mudslide,0,low
SYN_N_01436,SYNTHETIC_NER,2016-07-09,Tripura,unspecified,29.3097,94.28412,82.9,16.08,213.5,grassland,weathered_rock,17.0,51.3,79.4,58.5,19.6,0,n/a,0,low
SYN_N_01572,SYNTHETIC_NER,2019-06-02,Arunachal Pradesh,unspecified,29.15026,96.62149,2840.6,13.56,31.7,forest,colluvium,18.7,36.7,73.7,51.6,26.3,0,n/a,0,low
SYN_N_01134,SYNTHETIC_NER,2024-08-20,Tripura,unspecified,22.44509,89.76205,317.3,25.53,144.7,forest,weathered_rock,21.7,66.5,136.0,92.3,23.0,0,n/a,0,low
SYN_N_01082,SYNTHETIC_NER,2024-07-26,Sikkim,unspecified,28.20226,90.5658,1811.3,26.58,188.3,cropland,residual_soil,13.0,32.3,48.0,36.3,34.2,0,n/a,0,low
SYN_N_00214,SYNTHETIC_NER,2024-07-10,Tripura,unspecified,25.08674,94.96759,777.9,20.72,262.6,grassland,weathered_rock,0.0,0.0,0.0,0.0,19.7,0,n/a,0,low
SYN_E_00605,SYNTHETIC_NER,2022-06-19,Nagaland,unspecified,24.92356,96.27539,1401.1,32.3,244.7,grassland,weathered_rock,23.5,57.1,112.1,77.9,35.7,1,rock slide,0,low
SYN_E_00291,SYNTHETIC_NER,2024-05-22,Mizoram,unspecified,22.55961,89.08475,1875.4,36.75,277.9,cropland,colluvium,51.5,151.7,296.2,203.9,41.0,1,soil slide,0,low
SYN_E_00564,SYNTHETIC_NER,2020-06-07,Arunachal Pradesh,unspecified,27.08295,95.21363,2539.8,31.38,164.2,forest,residual_soil,80.0,181.6,293.2,217.1,24.8,1,rock slide,0,low
SYN_N_01367,SYNTHETIC_NER,2020-06-15,Nagaland,unspecified,28.69664,88.81633,1798.3,23.65,268.3,cropland,colluvium,15.0,44.8,65.8,49.4,16.0,0,n/a,0,low
SYN_N_02381,SYNTHETIC_NER,2017-08-15,Assam,unspecified,26.17717,88.4197,336.9,22.88,344.1,forest,colluvium,13.2,33.6,73.2,49.3,41.1,0,n/a,0,low
SYN_E_01106,SYNTHETIC_NER,2020-08-11,Meghalaya,unspecified,23.66826,96.23808,208.2,38.54,280.8,forest,unknown,149.9,379.7,580.2,434.0,35.7,1,debris flow,0,low
SYN_N_01184,SYNTHETIC_NER,2023-09-15,Mizoram,unspecified,24.43184,88.92121,1241.3,40.31,221.2,forest,residual_soil,24.2,55.5,104.5,73.7,24.5,0,n/a,0,low
SYN_E_00551,SYNTHETIC_NER,2016-08-27,Manipur,unspecified,22.3916,95.45504,929.7,23.82,153.3,cropland,residual_soil,18.2,48.4,86.6,61.5,37.9,1,debris flow,0,low
SYN_N_00036,SYNTHETIC_NER,2021-07-25,Mizoram,unspecified,27.92325,93.25247,1515.7,32.55,118.5,cropland,residual_soil,20.8,39.2,63.3,47.6,40.9,0,n/a,0,low
SYN_N_00372,SYNTHETIC_NER,2015-09-22,Assam,unspecified,21.69005,91.10015,407.0,23.92,84.1,forest,weathered_rock,13.4,37.0,77.4,52.5,23.9,0,n/a,0,low
SYN_N_00795,SYNTHETIC_NER,2025-08-23,Tripura,unspecified,22.36818,90.05822,895.8,23.28,76.8,cropland,weathered_rock,16.5,38.4,78.6,54.1,15.2,0,n/a,0,low
SYN_N_00226,SYNTHETIC_NER,2025-08-08,Tripura,unspecified,29.48805,92.36857,897.2,8.44,191.9,built-up,weathered_rock,10.0,22.9,44.5,31.1,10.3,0,n/a,0,low
SYN_E_00196,SYNTHETIC_NER,2021-08-21,Mizoram,unspecified,26.99403,96.59933,250.2,25.23,106.2,cropland,colluvium,36.3,95.3,180.8,126.2,47.3,1,rock slide,1,low
SYN_N_02062,SYNTHETIC_NER,2016-09-27,Tripura,unspecified,23.69621,92.62991,302.2,27.41,152.6,bare,colluvium,14.8,40.8,61.6,46.0,27.4,0,n/a,0,low
SYN_E_01053,SYNTHETIC_NER,2019-08-02,Arunachal Pradesh,unspecified,24.84111,95.00302,3448.1,35.95,14.4,bare,colluvium,59.1,109.4,227.7,158.5,42.1,1,debris flow,0,low
SYN_E_00889,SYNTHETIC_NER,2016-06-01,Mizoram,unspecified,22.2759,94.80149,1419.0,32.3,285.6,bare,weathered_rock,33.8,70.5,125.6,90.7,32.4,1,debris flow,0,low
SYN_N_01664,SYNTHETIC_NER,2019-07-13,Tripura,unspecified,22.93304,88.45366,150.9,32.99,155.0,grassland,colluvium,19.5,45.5,68.4,51.8,7.7,0,n/a,0,low
SYN_N_01999,SYNTHETIC_NER,2023-09-15,Arunachal Pradesh,unspecified,28.84147,89.92341,3956.4,19.85,196.9,cropland,residual_soil,35.7,104.1,168.7,122.7,23.9,0,n/a,0,low
SYN_E_00411,SYNTHETIC_NER,2021-12-26,Meghalaya,unspecified,27.04282,90.81251,1322.9,44.55,200.6,forest,residual_soil,106.2,256.6,360.3,278.4,18.3,1,debris flow,0,low
SYN_E_00149,SYNTHETIC_NER,2025-06-04,Assam,unspecified,22.31148,90.93311,487.1,40.04,203.5,forest,residual_soil,46.4,85.9,175.5,122.8,30.2,1,debris flow,0,low
SYN_E_00937,SYNTHETIC_NER,2025-03-18,Meghalaya,unspecified,28.62374,94.8452,720.9,45.52,76.5,forest,unknown,165.9,509.7,920.3,646.2,36.4,1,mudslide,0,low
SYN_N_01025,SYNTHETIC_NER,2021-08-20,Nagaland,unspecified,26.43864,93.86512,2853.3,31.64,236.5,cropland,weathered_rock,7.8,15.8,28.7,20.7,16.2,0,n/a,0,low
SYN_E_00314,SYNTHETIC_NER,2021-07-22,Meghalaya,unspecified,22.98803,89.39806,1024.7,25.62,243.8,forest,residual_soil,90.5,226.0,417.4,294.6,33.8,1,mudslide,1,low
SYN_N_01303,SYNTHETIC_NER,2016-07-27,Manipur,unspecified,27.8293,91.23765,1920.3,41.89,129.3,built-up,colluvium,15.0,45.7,81.0,57.2,31.5,0,n/a,0,low
SYN_N_01069,SYNTHETIC_NER,2025-08-27,Meghalaya,unspecified,25.83775,91.54188,779.4,11.27,319.7,bare,residual_soil,62.7,169.1,256.5,191.5,33.0,0,n/a,0,low
SYN_N_00696,SYNTHETIC_NER,2015-06-08,Assam,unspecified,24.97504,96.75395,104.2,27.35,145.3,forest,residual_soil,14.2,30.7,49.7,36.9,25.1,0,n/a,0,low
SYN_N_00613,SYNTHETIC_NER,2019-07-15,Meghalaya,unspecified,25.19837,93.92588,818.0,16.77,280.3,forest,unknown,44.5,109.9,156.6,120.2,32.4,0,n/a,0,low
SYN_N_00098,SYNTHETIC_NER,2017-04-19,Sikkim,unspecified,22.7725,90.31003,4689.7,26.38,172.8,forest,residual_soil,13.1,28.7,56.5,39.5,18.4,0,n/a,0,low
SYN_N_00947,SYNTHETIC_NER,2025-12-15,Arunachal Pradesh,unspecified,22.24606,96.01606,939.4,2.0,176.3,forest,colluvium,14.3,38.1,72.7,50.7,22.7,0,n/a,0,low
SYN_N_02224,SYNTHETIC_NER,2020-10-13,Assam,unspecified,27.38305,93.84085,554.4,28.48,127.0,cropland,unknown,12.4,23.9,45.5,32.4,20.1,0,n/a,0,low
SYN_N_02022,SYNTHETIC_NER,2025-09-12,Tripura,unspecified,21.9862,89.10477,283.3,34.2,260.5,forest,residual_soil,15.0,46.6,90.6,62.3,27.1,0,n/a,0,low
SYN_N_02332,SYNTHETIC_NER,2021-10-14,Sikkim,unspecified,23.41366,92.19018,4515.4,28.74,144.8,cropland,residual_soil,26.8,70.2,99.8,76.3,6.7,0,n/a,0,low
SYN_E_00299,SYNTHETIC_NER,2023-12-20,Assam,unspecified,23.49469,90.54156,350.1,34.2,199.0,forest,residual_soil,29.0,62.4,102.7,75.9,34.2,1,mudslide,0,low
SYN_E_01108,SYNTHETIC_NER,2016-03-07,Arunachal Pradesh,unspecified,22.22573,89.7446,4469.6,48.03,349.3,forest,weathered_rock,39.1,73.5,106.7,83.2,39.4,1,debris flow,0,low
SYN_N_00570,SYNTHETIC_NER,2020-11-01,Manipur,unspecified,22.67662,94.51551,1127.0,23.88,77.3,forest,residual_soil,0.0,0.0,0.0,0.0,26.3,0,n/a,0,low
SYN_E_00805,SYNTHETIC_NER,2020-07-13,Sikkim,unspecified,24.08626,94.90213,4044.4,47.68,132.8,forest,residual_soil,40.6,113.3,200.0,142.1,37.9,1,debris flow,0,low
SYN_N_01785,SYNTHETIC_NER,2017-09-13,Arunachal Pradesh,unspecified,21.98181,89.0504,722.8,7.72,184.7,bare,residual_soil,19.8,63.2,117.8,81.8,32.1,0,n/a,0,low
SYN_E_00183,SYNTHETIC_NER,2015-08-12,Tripura,unspecified,24.09299,93.35616,769.9,24.59,92.7,cropland,colluvium,28.2,64.4,139.1,94.5,23.2,1,debris flow,0,low
SYN_N_02127,SYNTHETIC_NER,2020-08-04,Mizoram,unspecified,21.82564,88.93681,644.6,20.46,254.9,cropland,unknown,16.0,45.1,89.1,61.3,18.8,0,n/a,0,low
SYN_E_01025,SYNTHETIC_NER,2019-08-23,Assam,unspecified,21.9327,88.67161,419.4,33.64,174.8,forest,residual_soil,40.7,77.7,142.5,102.7,55.0,1,soil slide,0,low
SYN_N_00989,SYNTHETIC_NER,2024-09-02,Arunachal Pradesh,unspecified,29.00882,92.03084,4468.5,30.84,5.7,cropland,colluvium,13.0,28.1,45.5,33.8,34.6,0,n/a,0,low
SYN_E_00881,SYNTHETIC_NER,2020-08-16,Sikkim,unspecified,29.21447,88.78161,4412.9,39.03,359.0,grassland,colluvium,78.7,225.5,477.9,322.4,31.8,1,debris flow,0,low
SYN_N_01593,SYNTHETIC_NER,2021-06-20,Arunachal Pradesh,unspecified,27.32833,91.13043,4350.2,31.1,2.8,bare,weathered_rock,7.1,21.7,34.9,25.4,29.1,0,n/a,0,low
SYN_N_01644,SYNTHETIC_NER,2019-08-09,Meghalaya,unspecified,22.16634,89.94144,1563.4,30.7,285.9,forest,residual_soil,11.8,27.3,49.4,35.2,13.8,0,n/a,0,low
SYN_N_00176,SYNTHETIC_NER,2016-11-26,Arunachal Pradesh,unspecified,22.3225,89.22338,2907.0,27.4,158.1,forest,unknown,22.2,43.3,83.5,59.2,27.9,0,n/a,0,low
